Customer,SP,Sales_2024,INCI,Sales_Product,Composition,Demand_2025,number_of_beauty_care_products_launched,Category,Sales_Demand_Ratio,Category_Sales_Ratio,Log_Sales_2024
Customer EMEA,30164505.0,10.0,polaxamer 407,PLURACARE F127 NF PRILL SURF.,Poloxamer 407,,,,,,2.3978952727983707
Customer EMEA,30164505.0,10.0,poloxamer 407,PLURACARE F127 NF PRILL SURF.,Poloxamer 407,2960.106824925816,1.0,Surfactant,0.003377115582532396,85325.91558657716,2.3978952727983707
Customer EMEA,30164505.0,10.0,poloxamer 407,PLURACARE F127 NF PRILL SURFACTANT,Poloxamer 407,2960.106824925816,1.0,Surfactant,0.003377115582532396,85325.91558657716,2.3978952727983707
Customer NA,30527725.0,0.03,hydralyzed wheat protein,GLUADIN WP,Hydrolyzed Wheat Protein,,,Hair Conditioner,,851931.299806675,0.0295588022415444
Customer NA,30527725.0,0.03,hydrolyzed wheat protein,GLUADIN WP,Hydrolyzed Wheat Protein,928.0,81.0,Hair Conditioner,3.229278794402583e-05,851931.299806675,0.0295588022415444
Customer Asia,30538226.0,0.06,cassia angustifolia seed polysaccharide,HYALUROSMOOTH LS 8998,Aqua (and) Cassia Angustifolia Seed Polysaccharide,2960.106824925816,1.0,Humectant,2.0262693495194373e-05,868312.0587444818,0.058268908123975775
Customer SA,30746855.0,0.06,beta-glucan,HYDRASENSYL GLUCAN GREEN,Beta-Glucan,2960.106824925816,1.0,Humectant,2.0262693495194373e-05,868312.0587444818,0.058268908123975775
Customer SA,30746855.0,0.06,betaglucane,HYDRASENSYL GLUCAN GREEN,Beta-Glucan,,,Humectant,,868312.0587444818,0.058268908123975775
Customer SA,30222192.0,0.1,sodium ascorbyl phosphate,SODIUM ASCORBYL PHOSPHATE,Sodium Ascorbyl Phosphate,2960.106824925816,1.0,Actives,3.377115582532396e-05,96741.60627705629,0.09531017980432487
Customer SA,30222192.0,0.1,sodiumascorbyl phosphate,SODIUM ASCORBYL PHOSPHATE,Sodium Ascorbyl Phosphate,,,,,,0.09531017980432487
Customer SA,30483790.0,0.1,pentaerythrityl tetra-di-butyl hydroxyhydrocinnamate,TINOGARD TT,Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,,,,,,0.09531017980432487
Customer SA,30483790.0,0.1,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,TINOGARD TT,Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,2960.106824925816,1.0,Antioxidant,3.377115582532396e-05,32344.22523587523,0.09531017980432487
Customer SA,30483790.0,0.1,pentaeythrityl tetra-di-t-butyl hydroxyhydrocinnamate,TINOGARD TT,Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,,,,,,0.09531017980432487
Customer SA,30527726.0,0.1,tributyl citrate,HYDAGEN CAT,Triethyl Citrate,222.0,11.0,Emollient,0.0004484304932735426,5508217.805150502,0.09531017980432487
Customer SA,30527726.0,0.1,triethyl citrate,HYDAGEN CAT,Triethyl Citrate,2960.106824925816,3.0,Emollient,3.377115582532396e-05,5508217.805150502,0.09531017980432487
Customer SA,30533558.0,0.15,sodium cetearyl sulfate,LANETTE E,Sodium Cetearyl Sulfate,309.0,4.0,Emulsifier,0.0004838709677419355,622268.3923688242,0.13976194237515868
Customer SA,30537422.0,0.15,disodium cetearyl sulfosuccinate,EUMULGIN PRISMA,Disodium Cetearyl Sulfosuccinate,2960.106824925816,1.0,Surfactant,5.0656733737985935e-05,5688394.372438477,0.13976194237515868
Customer NA,30537422.0,0.15,disodium cetearyl sulfosuccinate,EUMULGIN PRISMA,Disodium Cetearyl Sulfosuccinate,2960.106824925816,1.0,Surfactant,5.0656733737985935e-05,5688394.372438477,0.13976194237515868
Customer NA,30549006.0,0.16,tocopherol,COVI-OX T-90 EU C,Tocopherol,,,Antioxidant,,20215.14077242202,0.14842000511827327
Customer EMEA,30528598.0,0.2,sodium lauryl sulfate,TEXAPON Z 95 P,Sodium Lauryl Sulfate,2855.0,15.0,Surfactant,7.00280112044818e-05,4266295.779328858,0.18232155679395462
Customer SA,30795739.0,0.2,xanthan gum,VERDESSENCE XANTHAN,Xanthan Gum,2960.106824925816,22.0,Thickener,6.754231165064791e-05,8963.554761904761,0.18232155679395462
Customer Asia,30527795.0,0.25,algin,HYDAGEN 558 P,Algin,2960.106824925816,93.0,Thickener,8.442788956330989e-05,7170.843809523809,0.22314355131420976
Customer SA,30338477.0,0.25,dethylamino hydroxybenzoyl hexyl benzoate,UVINUL A PLUS GRANULAR,Diethylamino Hydroxybenzoyl Hexyl Benzoate,,,,,,0.22314355131420976
Customer SA,30338477.0,0.25,diethylamino hydoxybenzoyl hexyl benzoate,UVINUL A PLUS GRANULAR,Diethylamino Hydroxybenzoyl Hexyl Benzoate,,,,,,0.22314355131420976
Customer SA,30338477.0,0.25,diethylamino hydroxybenzoyl hexyl benzoate,UVINUL A PLUS GRANULAR,Diethylamino Hydroxybenzoyl Hexyl Benzoate,2960.106824925816,1.0,UV Filter,8.442788956330989e-05,230502.6191168146,0.22314355131420976
Customer SA,30338477.0,0.25,diethylamino hydroxylbenzoyl hexyl benzoate,UVINUL A PLUS GRANULAR,Diethylamino Hydroxybenzoyl Hexyl Benzoate,,,,,,0.22314355131420976
Customer SA,30633976.0,0.25,acrylate/beheneth-25 methacrylate copolymer,TINOVIS GTC UP,Acrylates/Beheneth-25 Methacrylate Copolymer,,,Film Former,,106807.43108064379,0.22314355131420976
Customer SA,30633976.0,0.25,acrylates/beheneth-25 methacrylate copolymer,TINOVIS GTC UP,Acrylates/Beheneth-25 Methacrylate Copolymer,2960.106824925816,1.0,,8.442788956330989e-05,,0.22314355131420976
